               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 129,            0.033221,            0.066218,            0.010061,             0.92571,             0.95579,             0.97265,             0.72165,            0.036379,             0.10256,             0.01073,           0.0093664,           0.0093664,           0.0093664
                 130,             0.03568,            0.066309,            0.010199,             0.91441,             0.95705,             0.97215,             0.72708,            0.034953,             0.10158,            0.010818,           0.0093615,           0.0093615,           0.0093615
                 131,            0.033384,            0.064649,            0.010048,             0.94137,             0.94055,             0.97425,             0.72955,            0.034453,             0.10366,            0.010812,           0.0093565,           0.0093565,           0.0093565
                 132,            0.034838,            0.064084,            0.010275,             0.92993,             0.93836,             0.97175,             0.72239,            0.035574,              0.1018,            0.010799,           0.0093516,           0.0093516,           0.0093516
                 133,            0.034356,            0.064397,           0.0099682,             0.91614,             0.94102,             0.96871,             0.71017,            0.035382,             0.10146,            0.010822,           0.0093466,           0.0093466,           0.0093466
                 134,            0.034856,            0.064915,            0.010078,             0.91753,             0.94012,             0.96759,             0.71539,            0.035184,             0.10095,             0.01068,           0.0093416,           0.0093416,           0.0093416
                 135,            0.034291,             0.06559,           0.0099573,             0.92054,             0.93435,             0.96959,             0.71704,            0.035578,             0.10195,            0.010749,           0.0093367,           0.0093367,           0.0093367
                 136,            0.034719,            0.064554,            0.010143,             0.91015,              0.9399,             0.97234,              0.7204,            0.034222,              0.1008,            0.010618,           0.0093317,           0.0093317,           0.0093317
                 137,            0.033367,            0.063424,           0.0097908,             0.90193,             0.94879,             0.97064,             0.72868,            0.035073,             0.10448,            0.010401,           0.0093268,           0.0093268,           0.0093268
                 138,            0.034411,            0.065073,           0.0096359,             0.91663,             0.93399,             0.97024,             0.72533,            0.035444,             0.10567,            0.010485,           0.0093219,           0.0093219,           0.0093219
                 139,            0.033312,            0.064356,           0.0095827,             0.93239,             0.91435,             0.97014,             0.73156,            0.036346,              0.1058,            0.010562,           0.0093169,           0.0093169,           0.0093169
                 140,            0.035402,            0.067004,           0.0098657,             0.91043,             0.91767,             0.96763,             0.72157,            0.035584,             0.10474,            0.010834,           0.0093119,           0.0093119,           0.0093119
                 141,            0.031628,            0.065096,           0.0095043,             0.93332,             0.92374,             0.96879,             0.71715,            0.035512,             0.10524,            0.010568,            0.009307,            0.009307,            0.009307
                 142,            0.034346,            0.064229,           0.0094788,             0.92427,             0.91228,              0.9599,             0.69895,             0.03622,              0.1042,            0.010854,            0.009302,            0.009302,            0.009302
                 143,            0.033426,            0.064206,           0.0093426,             0.92218,             0.93524,             0.97126,             0.72427,            0.035498,             0.10783,            0.010332,           0.0092971,           0.0092971,           0.0092971
                 144,            0.034966,            0.064254,           0.0094651,             0.91884,             0.93914,             0.97097,             0.72458,            0.035833,             0.11014,            0.010372,           0.0092922,           0.0092922,           0.0092922
                 145,            0.032866,            0.064674,           0.0093339,             0.94509,             0.93543,             0.97296,             0.72824,            0.035123,             0.10585,            0.010196,           0.0092872,           0.0092872,           0.0092872
                 146,            0.033523,            0.064098,           0.0092356,             0.93459,             0.91191,             0.96564,              0.7296,            0.034276,             0.10439,            0.010295,           0.0092823,           0.0092823,           0.0092823
                 147,            0.033973,            0.063346,           0.0093365,             0.93153,             0.94568,              0.9695,             0.73061,            0.034271,             0.10261,            0.010239,           0.0092773,           0.0092773,           0.0092773
                 148,            0.032702,            0.063361,           0.0093624,             0.93022,             0.94697,             0.97385,             0.73848,            0.034161,             0.10279,            0.010093,           0.0092724,           0.0092724,           0.0092724
                 149,            0.033077,            0.063096,           0.0092347,             0.92823,             0.94238,             0.96905,             0.70638,            0.034876,              0.1053,            0.010013,           0.0092674,           0.0092674,           0.0092674
                 150,             0.03389,            0.065534,            0.009363,             0.93311,             0.93099,             0.97131,               0.709,            0.035111,             0.10398,            0.010085,           0.0092625,           0.0092625,           0.0092625
                 151,            0.034173,            0.064157,           0.0091993,             0.92995,             0.93394,             0.97412,             0.72497,            0.035571,             0.10599,           0.0099701,           0.0092575,           0.0092575,           0.0092575
                 152,             0.03366,            0.064992,           0.0090648,             0.91186,             0.94031,             0.97038,             0.72065,            0.034758,             0.10533,             0.01015,           0.0092526,           0.0092526,           0.0092526
